pSale,bPR,sPR,bDG,sDG,positional,median,flag,sumFlag,tokenId,sale
0.5,3.135867249205519e-05,0.0002464957311460372,2,42,0.9906320706222296,0,0,0,2144,0.08
0.25,0.0001265384457755008,3.1076230222938605e-05,11,37,0.8648088659299321,0.04,0,0,6146,0.054
0.16666666666666666,6.009617545671249e-05,3.1076230222938605e-05,5,20,0.7329852980790847,0.054,0,0,3634,0.058
0.125,6.009617545671249e-05,3.1076230222938605e-05,5,37,0.6156367108591386,0.029,0,0,6160,0.058
0.1,3.204291433179958e-05,3.1076230222938605e-05,2,37,0.6900689168687125,0.058,0,0,6152,0.055
0.08333333333333333,3.215826798776465e-05,3.393647843759849e-05,4,19,-3.014435335948845e-05,0.0565,0,0,355,0.0599
0.07142857142857142,0.00011926672770562612,3.1076230222938605e-05,41,2,-0.8416175374112844,0.058,0,0,3196,0.055
0.0625,3.418601700403295e-05,3.183760516155471e-05,5,5,0.8411287878936636,0.0565,0,0,7454,0.08
0.05555555555555555,3.9661363072288304e-05,3.1076230222938605e-05,8,37,-0.33047453077814315,0.04,0,0,6161,0.058
0.05,6.009617545671249e-05,3.1076230222938605e-05,5,1,-0.9231921992207431,0.058,0,0,8079,0.054
0.045454545454545456,3.6378179001036076e-05,3.406820873647737e-05,4,7,0.9726230624856244,0.056,0,0,228,0.0539
0.041666666666666664,0.00015092718101095647,3.1076230222938605e-05,13,37,-0.9987901557141466,0.054,0,0,6156,0.055
0.038461538461538464,0.00015092718101095647,3.1076230222938605e-05,13,5,0.15790832245767655,0.0275,0,0,8479,0.055
0.03571428571428571,3.418601700403295e-05,3.1076230222938605e-05,5,37,-0.8164468123284806,0.055,0,0,6144,0.056
0.03333333333333333,6.565504551308554e-05,3.1076230222938605e-05,13,10,0.7509275292403622,0.028,0,0,1083,0.055
0.03125,6.297408034008379e-05,3.1076230222938605e-05,8,10,-0.9129821511040995,0.055,0,0,1085,0.05
0.029411764705882353,0.00011926672770562612,3.1076230222938605e-05,41,37,-0.9452682473518487,0.052500000000000005,0,0,6150,0.058
0.027777777777777776,0.0001265384457755008,3.1076230222938605e-05,11,109,0.4682246759840058,0.055,0,0,6535,0.06
0.02631578947368421,3.9661363072288304e-05,3.1076230222938605e-05,8,6,0.9867305726340846,0.03,0,0,7403,0.058
0.025,6.009617545671249e-05,3.1076230222938605e-05,5,1,-0.17539308954434413,0.058,0,0,8080,0.055
0.023809523809523808,3.704797337772921e-05,3.1076230222938605e-05,3,6,0.3965063726704215,0.0565,0,0,7402,0.054
0.022727272727272728,6.565504551308554e-05,3.1076230222938605e-05,13,37,-0.23616346599991866,0.027,0,0,6151,0.0545
0.021739130434782608,3.363412001084185e-05,3.2065556451568626e-05,6,12,-0.9802515835834019,0.054,0,0,570,0.07
0.020833333333333332,3.704797337772921e-05,3.1076230222938605e-05,3,37,0.9957343996866828,0.05425,0,0,6159,0.0545
0.02,8.765431920306053e-05,3.1076230222938605e-05,33,109,-0.9747699060866665,0.0545,0,0,6539,0.06
0.019230769230769232,4.6081106296347444e-05,3.1076230222938605e-05,8,6,-0.7396068997110438,0.03,0,0,7393,0.056
0.018518518518518517,3.7558922025480124e-05,3.406820873647737e-05,6,7,0.7210585970706318,0.056,0,0,227,0.0549
0.017857142857142856,3.418601700403295e-05,3.1076230222938605e-05,5,16,-0.0702711269223078,0.05545,0,0,5504,0.059
0.017241379310344827,4.423616611132481e-05,4.170384691243607e-05,12,38,0.9836800785875079,0.0295,0,0,5939,0.059
0.016666666666666666,0.0001265384457755008,3.1076230222938605e-05,11,2,-0.6963181611525227,0.059,0,0,4044,0.06
