pSale,bPR,sPR,bDG,sDG,positional,median,flag,sumFlag,tokenId,sale
0.5,9.118219057861318e-05,4.061983513672882e-05,22,4,0.9637873480674221,0,0,0,316,0.05
0.25,4.22654493367074e-05,5.2212504844887677e-05,1,4,-0.2624039418616639,0.025,0,0,305,0.02
0.16666666666666666,4.0896799702582505e-05,0.0008693123561909369,2,58,-0.459957024350746,0.02,0,0,833,0.03
0.125,0.00012341196833354014,0.00014499583668364525,16,32,-0.9300727311045811,0.025,0,0,935,0.05
0.1,4.078601387624103e-05,0.0008693123561909369,2,58,-0.9956925784370406,0.03,0,0,834,0.018
0.08333333333333333,7.345489144860469e-05,4.061983513672882e-05,23,5,-0.9300505808240753,0.025,0,0,1645,0.02
0.07142857142857142,4.178616687188945e-05,4.061983513672882e-05,4,8,0.5292105781210271,0.02,0,0,1741,0.035
0.0625,0.00011210819375808102,5.913270375133529e-05,59,13,0.8367051679479498,0.025,0,0,1044,0.02
0.05555555555555555,4.2953259267017916e-05,4.9047406181828264e-05,4,21,-0.05290297516673631,0.02,0,0,1998,0.025
0.05,4.596012519581332e-05,0.00025054532525897554,10,19,0.6091157451462272,0.0225,0,0,918,0.05
0.045454545454545456,0.0007465044923499612,5.9309911900459194e-05,43,11,0.35496653913623116,0.025,0,0,547,0.015
0.041666666666666664,7.781186892225983e-05,5.913270375133529e-05,11,13,-0.9424943064466191,0.0225,0,0,847,0.013
0.038461538461538464,7.514789230444015e-05,4.061983513672882e-05,15,1,-0.044302907677458626,0.02,0,0,820,0.0138
0.03571428571428571,5.920727352610418e-05,4.061983513672882e-05,3,6,0.3465646283438878,0.02,0,0,895,0.1
0.03333333333333333,0.00018286606241793628,9.118219057861318e-05,32,22,0.9637873480674221,0.02,0,0,316,0.01
0.1,8.44396647646363e-05,0.00041374772696807223,35,79,-0.10604746068673451,0.02,1,0,619,0.1
0.09375,4.180344847495126e-05,5.913270375133529e-05,4,13,-0.8816992984721206,0.02,0,1,2286,0.009
0.08823529411764705,4.304528821985712e-05,4.061983513672882e-05,3,6,0.9765714113225485,0.02,0,1,894,0.017
0.08333333333333333,0.00011210819375808102,4.4124737612156724e-05,59,10,-0.997182341240648,0.02,0,1,1588,0.015
0.07894736842105263,5.3279135838331505e-05,0.00017352231154499836,8,12,0.14106032243614638,0.0075,0,1,713,0.2
0.07500000000000001,8.44396647646363e-05,4.061983513672882e-05,35,7,0.63685421847986,0.015,0,1,1716,0.11
0.07142857142857142,4.117412077934797e-05,4.4124737612156724e-05,2,10,-0.6568956903592464,0.0625,0,1,1413,0.018
0.06818181818181818,8.767030536052306e-05,0.00013502452122356295,19,41,-0.7025794130692126,0.018,0,1,3001,0.015
0.06521739130434782,4.502086223022579e-05,4.066095037476619e-05,5,16,-0.6159929677799073,0.0075,0,1,835,0.15
0.0625,8.767030536052306e-05,0.00013502452122356295,19,41,0.4830804284029207,0.015,0,1,3006,0.014
0.06,0.00013450929550701236,0.00013502452122356295,32,41,-0.35468470978178057,0.014499999999999999,0,1,3003,0.015
0.057692307692307696,4.197020072411767e-05,0.0009741726656605198,7,74,0.7391603938754915,0.015,0,1,417,0.06
0.05555555555555555,8.767030536052306e-05,4.061983513672882e-05,19,3,0.07093264777739541,0.015,0,1,2306,0.0139
0.05357142857142857,5.5146039647446544e-05,4.061983513672882e-05,6,4,-0.9765778977502884,0.015,0,1,539,0.03
0.05172413793103448,0.00014439255963056847,0.00017556914342756885,42,47,-0.8268117243068012,0.015,0,1,420,0.08
0.05,4.881612171764569e-05,0.00017352231154499836,7,12,-0.7568419012610816,0.04,0,1,714,0.045
0.04838709677419355,4.18878169783782e-05,0.00020817295278775647,9,24,0.6769272861934731,0.045,0,1,2558,0.013
0.046875,0.00013502452122356295,5.920727352610418e-05,41,3,0.3465646283438878,0.028999999999999998,0,1,895,0.07
0.078125,6.538890238658338e-05,0.00020817295278775647,14,24,0.9999154252794826,0.045,0,1,3162,0.013
0.07575757575757576,5.093627205998016e-05,4.1903092632548904e-05,40,13,-0.5585640372121817,0.028999999999999998,0,1,3141,0.0099
0.07352941176470588,0.00022940230512232007,0.0009741726656605198,101,74,-0.9928762402415507,0.013,0,1,413,0.02
0.07142857142857142,0.0001101347815423788,0.0001301164403683471,58,25,0.5440464039108651,0.0165,0,1,365,0.065
0.06944444444444445,5.093627205998016e-05,0.0008693123561909369,40,58,0.49866089672312836,0.02,0,1,832,0.014
0.06756756756756757,0.0001101347815423788,4.5437014179229865e-05,58,5,0.8010443814797708,0.017,0,1,1950,0.2
0.06578947368421052,4.087367783568118e-05,4.285441978785888e-05,2,30,0.11451530356651274,0.02,0,1,3264,0.015
0.0641025641025641,4.0671241842298e-05,0.00013502452122356295,2,41,-0.9784005281563776,0.0175,0,1,3002,0.01
0.0625,0.0001101347815423788,4.242531909676633e-05,58,5,-0.4988176628046754,0.015,0,1,1298,0.1
0.06097560975609756,4.0671241842298e-05,0.00013502452122356295,2,41,-0.39603587146658814,0.0175,0,1,1367,0.01
0.05952380952380952,4.0722426859653534e-05,0.00020817295278775647,4,24,0.8774307722189351,0.015,0,1,3728,0.01
0.05813953488372093,0.0003340789657784041,0.00020817295278775647,42,24,-0.25361925710808336,0.014499999999999999,1,1,2557,0.01
0.05681818181818182,5.093627205998016e-05,4.061983513672882e-05,40,18,0.99975182701909,0.014,0,2,1830,0.02
0.05555555555555556,6.39738780656026e-05,7.605337871195066e-05,26,27,-0.21092839905077523,0.014499999999999999,0,2,1593,0.0199
0.05434782608695652,0.00022940230512232007,4.061983513672882e-05,101,18,0.26222940933955213,0.00995,0,2,1825,0.04
0.05319148936170213,8.693164337736836e-05,0.00010477930567066666,15,21,-0.28830744337591907,0.0199,0,2,4986,0.03
0.05208333333333333,0.00010881345532486424,0.00020817295278775647,46,24,0.5512003368371975,0.02495,1,2,3163,0.01
0.0510204081632653,5.093627205998016e-05,4.061983513672882e-05,40,6,-0.6020720756694737,0.0199,0,3,896,0.015
0.05,8.693164337736836e-05,0.00020817295278775647,15,24,-0.9509894250495972,0.01745,0,3,2556,0.01
0.049019607843137254,8.693164337736836e-05,6.696508270770353e-05,15,12,-0.8734294386904861,0.015,0,3,2995,0.16
0.04807692307692308,6.39738780656026e-05,4.285441978785888e-05,26,30,-0.9905578286250735,0.01745,0,3,4246,0.0145
0.04716981132075471,0.00015962218950097453,0.0001027308242778934,23,5,-0.990549561511836,0.015,0,3,4956,0.01
0.046296296296296294,6.39738780656026e-05,0.0001027308242778934,26,5,-0.953643856348188,0.01475,0,3,4309,0.01
0.045454545454545456,4.085283237102855e-05,4.1903092632548904e-05,5,13,-0.6964046985093196,0.0145,0,3,5464,0.0099
0.04464285714285714,6.696508270770353e-05,4.500089330426479e-05,12,10,-0.663678982427899,0.01225,0,3,739,0.025
0.043859649122807015,4.1563763344665576e-05,4.285441978785888e-05,4,30,0.5368781320714742,0.0145,0,3,4248,0.0143
0.04310344827586207,0.0002573852060155122,4.061983513672882e-05,38,2,0.9851203677373821,0.0144,0,3,1849,0.5
0.0423728813559322,0.0003768610161490458,0.00012341196833354014,135,16,-0.9300727311045811,0.0145,0,3,935,0.12999173708810743
0.059322033898305086,0.0002573852060155122,0.00014439255963056847,38,42,-0.6086853308676566,0.01475,0,3,5472,0.03
0.058333333333333334,0.0002573852060155122,4.061983513672882e-05,38,5,0.9725950346205025,0.015,0,3,1648,0.02
0.05737704918032787,7.236351100471097e-05,4.586409117518745e-05,4,17,-0.9726790757928157,0.01745,0,3,2612,0.018
