pSale,bPR,sPR,bDG,sDG,positional,median,flag,sumFlag,tokenId,sale
0.5,0.0001738914111505423,4.332648390141029e-05,28,8,0.9999118601072672,0,0,0,33,0.16
0.25,0.0001738914111505423,4.197214189197462e-05,28,1,0.9956813917222668,0.08,0,0,586,0.1
0.16666666666666666,8.631948293286623e-05,0.0003055271750390764,12,64,0.8818130525190443,0.1,0,0,554,0.08
0.125,8.631948293286623e-05,5.4808121587003304e-05,12,31,-0.8508718520044144,0.09,0,0,665,0.08
0.1,8.631948293286623e-05,0.0003055271750390764,12,64,-0.9395403785729803,0.04,1,0,551,0.08
0.08333333333333333,4.217837642391575e-05,0.0003055271750390764,1,64,0.0796086403815333,0.08,0,1,553,0.08
0.07142857142857142,5.4808121587003304e-05,0.00030143242225824613,31,59,-0.5805620972394064,0.08,0,1,590,0.2
0.0625,4.8791692903192215e-05,4.6478943817406605e-05,27,35,0.986617763744047,0.1,0,1,762,0.1
0.05555555555555555,0.00034051417323812,4.197214189197462e-05,46,5,-0.7148975077677643,0.1,0,1,205,0.1
0.05,8.789573213254895e-05,4.6478943817406605e-05,6,35,0.9999110578521441,0.1,0,1,743,0.12
0.045454545454545456,4.8791692903192215e-05,4.6478943817406605e-05,27,35,0.5514769744870444,0.1,0,1,742,0.12
0.041666666666666664,4.8791692903192215e-05,0.0001324628817496137,27,38,0.49866089672312836,0.11,0,1,832,0.12
0.038461538461538464,4.8791692903192215e-05,0.0001324628817496137,27,38,-0.9928654610638965,0.12,0,1,652,0.11
0.03571428571428571,5.3287266181157295e-05,4.197214189197462e-05,5,5,-0.7023863292684921,0.11499999999999999,0,1,194,0.1
0.03333333333333333,4.285164600254361e-05,0.0001324628817496137,5,38,0.9726440741045344,0.11,0,1,837,0.1
0.03125,4.2539555347172187e-05,8.631948293286623e-05,4,12,-0.09712190237828329,0.10500000000000001,0,1,823,0.08
0.029411764705882353,4.217837642391575e-05,0.0003055271750390764,3,64,-0.30478191109030295,0.1,0,1,295,0.08
0.027777777777777776,0.0002508665524073512,4.197214189197462e-05,31,1,-0.9819692685810417,0.1,0,1,947,0.13
0.02631578947368421,0.00010095171781867569,0.0001324628817496137,23,38,-0.5064436211734845,0.065,0,1,965,0.12
0.025,4.20700140868889e-05,8.631948293286623e-05,2,12,-0.9395403785729803,0.12,1,1,551,0.08
0.07500000000000001,9.748714535217624e-05,0.0002508665524073512,24,31,0.6636564336219596,0.1,0,2,384,0.15
0.07142857142857142,9.748714535217624e-05,0.0002508665524073512,24,31,0.6368077356795173,0.12,0,2,1006,0.12
0.06818181818181818,6.769533739477905e-05,4.740699520703361e-05,36,24,0.7624999444675773,0.12,0,2,1039,0.04
0.06521739130434782,5.4808121587003304e-05,4.197214189197462e-05,31,5,0.21945466799406363,0.12,0,2,195,0.12
0.0625,4.4020651326215586e-05,6.309894420870371e-05,5,25,0.5661573337391944,0.12,0,2,786,0.09
0.06,6.769533739477905e-05,4.740699520703361e-05,36,24,-0.9589499231814597,0.12,0,2,1060,0.04
0.057692307692307696,0.00010212744587104976,0.0002508665524073512,11,31,0.4040100708226276,0.105,0,2,386,0.1
0.05555555555555555,0.00010212744587104976,4.197214189197462e-05,11,1,-0.889968112961789,0.1,0,2,822,0.11
0.05357142857142857,4.236436425440216e-05,0.0001324628817496137,2,38,0.7087229424210653,0.10500000000000001,0,2,893,0.075
0.05172413793103448,4.244280872688766e-05,0.0001324628817496137,1,38,0.9637712690067693,0.1,0,2,1026,0.09
0.05,6.404228166518246e-05,4.2797599661233054e-05,12,3,0.08830863309607147,0.095,0,2,845,0.14
0.04838709677419355,4.4020651326215586e-05,4.203004216220934e-05,5,9,0.9983488258124457,0.1,0,2,567,0.16
0.046875,9.390915666518591e-05,4.6478943817406605e-05,14,35,0.0531437907535685,0.10500000000000001,0,2,842,0.15
0.045454545454545456,5.4968120215521524e-05,4.6478943817406605e-05,17,35,0.5290315259540843,0.11,0,2,744,0.12
0.044117647058823525,5.5175170937108136e-05,5.4808121587003304e-05,21,31,-0.12363294914268595,0.11499999999999999,0,2,663,0.08
0.04285714285714286,5.4968120215521524e-05,0.0005430549671973233,17,79,-0.9660944251371497,0.11,0,2,1004,0.333
0.041666666666666664,5.4968120215521524e-05,0.00013772360303209263,17,5,0.1761646394206257,0.11499999999999999,0,2,1150,0.5
0.04054054054054054,4.855816968369997e-05,6.309894420870371e-05,12,25,-0.9301280920157128,0.12,0,2,840,0.1
0.039473684210526314,4.2468956884382834e-05,0.0001324628817496137,2,38,0.9129083428849631,0.11499999999999999,0,2,1045,0.095
0.038461538461538464,0.00010520496611276285,4.6478943817406605e-05,29,35,0.8689955898411542,0.11,0,2,843,0.14
0.037500000000000006,5.6349897306766784e-05,7.135382902118211e-05,6,9,0.5214738406490854,0.11499999999999999,0,2,1121,0.14
0.03658536585365854,6.769533739477905e-05,4.740699520703361e-05,36,24,0.4360833757535898,0.12,0,2,1008,0.081
0.03571428571428571,0.00010363655350797933,4.740699520703361e-05,64,24,0.23654423957088996,0.11499999999999999,0,2,1536,0.16
0.03488372093023256,5.4968120215521524e-05,4.730154946103452e-05,17,16,0.7509275292403622,0.12,0,2,1083,0.25
0.03409090909090909,5.4968120215521524e-05,0.00011488998540351729,17,20,0.7849243603267638,0.12,0,2,951,0.14
0.03333333333333333,5.4968120215521524e-05,9.733109994715248e-05,17,49,-0.34667773058479046,0.12,0,2,525,0.369
0.03260869565217391,7.743780513737705e-05,0.0003055271750390764,37,64,-0.7957875885887045,0.12,0,2,552,0.08
0.031914893617021274,4.7951770461862084e-05,4.740699520703361e-05,5,24,0.8940641878929069,0.12,0,2,1685,0.18
0.03125,8.760057472166109e-05,6.611713026392076e-05,8,8,-0.9977912763176868,0.12,0,2,1230,0.11
0.030612244897959183,4.203004216220934e-05,0.00011743259983792503,9,48,-0.7209750468639425,0.12,0,2,1193,0.06
0.03,0.00011862350615215818,4.730154946103452e-05,20,16,0.08851881721811569,0.12,0,2,1640,0.08
0.029411764705882353,4.27206157201491e-05,4.855816968369997e-05,1,12,-0.6568956903592464,0.12,0,2,1413,0.07
0.028846153846153848,0.00011862350615215818,4.730154946103452e-05,20,16,0.6766387934979105,0.11499999999999999,0,2,2057,0.08
0.02830188679245283,4.2422264524636876e-05,0.0001324628817496137,2,38,-0.6229178893619305,0.11,0,2,1168,0.075
0.027777777777777776,4.203004216220934e-05,0.00011743259983792503,2,48,0.5586390456608251,0.11,0,2,2076,0.06
0.02727272727272727,5.293288469871137e-05,0.00011743259983792503,22,48,0.9997591589868832,0.11,0,2,2075,0.06
0.026785714285714284,5.9816332242090866e-05,0.00011743259983792503,21,48,0.521705312165985,0.10500000000000001,0,2,2074,0.06
0.02631578947368421,4.251501979699672e-05,0.0003055271750390764,6,64,0.4911791469168586,0.1,0,2,1986,0.0911
0.02586206896551724,0.00011227046010745087,4.855816968369997e-05,49,12,-0.1584143263463814,0.1,0,2,2444,0.07
0.025423728813559324,4.205395365735403e-05,0.00011227046010745087,1,49,-0.916593876716412,0.1,0,2,2172,0.07
0.025,8.096353763068839e-05,4.788112960397196e-05,13,21,0.890078059172214,0.0975,0,2,2018,0.095
0.02459016393442623,5.5175170937108136e-05,4.855816968369997e-05,21,12,-0.7739861277565211,0.095,0,2,1845,0.07
