pSale,bPR,sPR,bDG,sDG,positional,median,flag,sumFlag,tokenId,sale
0.5,0.00037172010856935964,0.0002896566396325772,1,3,-0.9999903395061709,0,0,0,344,0.099
0.25,0.00033832760566327385,0.0002896566396325772,4,6,-0.9425245273294025,0.0495,0,0,218,0.12
0.16666666666666666,0.0005921491420897919,0.0002896566396325772,4,3,0.01776220433321534,0.099,0,0,754,0.099
0.125,0.0002940268835404532,0.0002896566396325772,4,2,0.32165094574030556,0.099,0,0,459,0.09
0.1,0.00045021560059584726,0.0002896566396325772,3,6,-0.9705280195418053,0.099,0,0,250,0.13
0.08333333333333333,0.0005358470464429246,0.0002896566396325772,2,1,0.8268795405320025,0.099,0,0,1000,0.0888
0.07142857142857142,0.0005358470464429246,0.0002896566396325772,2,1,-0.9017753195144049,0.0444,0,0,401,0.2
0.0625,0.0003989209213068325,0.0002896566396325772,2,2,0.5878193939808536,0.0888,0,0,497,0.079
0.05555555555555555,0.01227250807080385,0.0003073669226785053,89,3,-0.6832837250355236,0.0839,0,0,450,0.07
0.05,0.01227250807080385,0.0002896566396325772,89,1,-0.9983418923066761,0.035,0,0,853,0.075
0.045454545454545456,0.01227250807080385,0.0002896566396325772,89,1,-0.9267958647454188,0.07,0,0,602,0.069
0.041666666666666664,0.00036570000853152623,0.0002896566396325772,2,3,-0.86458174478646,0.0345,0,0,821,0.08
0.038461538461538464,0.0005358470464429246,0.0002896566396325772,2,1,0.811638606855743,0.069,0,0,579,0.0888
0.03571428571428571,0.00045021560059584726,0.0002896566396325772,3,2,-0.8900368354089458,0.0444,0,0,953,0.0888
0.03333333333333333,0.0005086462337054518,0.0002896566396325772,3,3,-0.3549383576518463,0.0888,0,0,192,0.099
0.03125,0.0003650879370670485,0.0002896566396325772,4,2,0.00888145245887885,0.0888,0,0,377,0.078
0.029411764705882353,0.01227250807080385,0.0002896566396325772,89,2,0.9588986183026019,0.0888,0,0,1070,0.0666
0.027777777777777776,0.0005086462337054518,0.0002896566396325772,3,2,-0.47547063199610207,0.0333,0,0,898,0.099
0.02631578947368421,0.01227250807080385,0.0002896566396325772,89,1,0.6019757972528995,0.0666,0,0,524,0.08777
0.025,0.0007915184702036063,0.0002896566396325772,5,2,-0.9938886539233752,0.043885,0,0,80,0.1
0.023809523809523808,0.01227250807080385,0.0002896566396325772,89,3,0.18469286804020318,0.08777,0,0,958,0.069
0.022727272727272728,0.0003367216732703788,0.0002896566396325772,2,3,-0.8461722149944356,0.0345,0,0,1042,0.0888
0.021739130434782608,0.0026691627369971457,0.0002896566396325772,15,2,0.9129698518082046,0.069,0,0,730,0.09
0.020833333333333332,0.000293177640038275,0.00032008540074555936,2,11,0.9683418904640229,0.0789,0,0,982,0.079
0.02,0.0004494629618130101,0.0002896566396325772,4,2,-0.7682932534017909,0.0395,0,0,758,0.079
0.019230769230769232,0.0005021165910959827,0.0002896566396325772,5,4,0.4440586509707787,0.079,0,0,631,0.09
0.018518518518518517,0.0003650879370670485,0.0002896566396325772,4,5,0.9129329489429682,0.045,0,0,335,0.09
0.017857142857142856,0.0002935787666667723,0.00032008540074555936,1,11,0.5734065686442813,0.09,0,0,453,0.088
0.017241379310344827,0.01227250807080385,0.0002896566396325772,89,1,0.7904516712343437,0.089,0,0,491,0.069
0.016666666666666666,0.01227250807080385,0.0002896566396325772,89,7,-0.9802336960326743,0.0345,0,0,495,0.07
0.016129032258064516,0.00032799078602173165,0.0002896566396325772,2,3,0.4519451186001038,0.069,0,0,964,0.09
0.015625,0.0006659510113787881,0.000728697537886245,5,7,0.2793865543595699,0.0695,0,0,361,0.0969
0.015151515151515152,0.0004120641603371633,0.0002896566396325772,2,2,-0.750947435766512,0.07,0,0,728,0.089
0.014705882352941176,0.0003267894310066869,0.0002896566396325772,2,3,-0.9784503507933796,0.0795,0,0,162,0.1
0.014285714285714285,0.000354676673483552,0.0002896566396325772,2,4,0.4910741133562503,0.05,0,0,566,0.0969
0.013888888888888888,0.0005738946547681601,0.0002896566396325772,3,2,0.5140560276444147,0.0969,0,0,987,0.085
0.013513513513513514,0.0007820374532532719,0.0002896566396325772,3,1,0.8366721491002946,0.09095,0,0,334,0.0777
0.013157894736842105,0.0004731419673575418,0.0002896566396325772,3,4,-0.7957875885887045,0.03885,0,0,552,0.09
0.01282051282051282,0.00035388022401788524,0.0002896566396325772,2,4,0.3215653171302501,0.0777,0,0,606,0.12
0.0125,0.0003437522895595145,0.0002896566396325772,2,4,-0.017732064727370864,0.08385000000000001,0,0,399,0.098
0.012195121951219513,0.0007820374532532719,0.0002896566396325772,4,1,0.13226211205325097,0.049,0,0,1090,0.1
0.011904761904761904,0.0003553074147820032,0.0002896566396325772,2,4,0.21945466799406363,0.098,0,0,195,0.12
0.011627906976744186,0.0003813342388213676,0.0002896566396325772,1,2,-0.9997538375481824,0.099,0,0,765,0.089
0.011363636363636364,0.0007915184702036063,0.0002896566396325772,5,1,-0.026460752737064126,0.098,0,0,999,0.079
0.011111111111111112,0.00034983651685288435,0.0002896566396325772,2,4,-0.5440716964379951,0.0935,0,0,720,0.11
0.010869565217391304,0.0005358470464429246,0.0002896566396325772,1,1,-0.8979674804979512,0.098,0,0,997,0.1
0.010638297872340425,0.00032713891610197264,0.0002896566396325772,2,3,0.846268586435398,0.099,0,0,1088,0.088
0.010416666666666666,0.0005358470464429246,0.0002896566396325772,2,1,-0.5660579379995188,0.044,0,0,634,0.111
0.01020408163265306,0.000589366700097348,0.0002896566396325772,4,1,0.9977972794498907,0.088,0,0,165,0.1
0.01,0.0004952794718667097,0.0002896566396325772,4,4,0.9454647941364738,0.094,0,0,950,0.1
0.00980392156862745,0.0007820374532532719,0.0002896566396325772,3,1,0.998812289042307,0.1,0,0,831,0.099
0.009615384615384616,0.0003448562824151663,0.0002896566396325772,2,4,0.45993025772913376,0.0995,0,0,478,0.1
0.009433962264150943,0.00035593867223536306,0.0002896566396325772,2,2,-0.7451533679583873,0.05,0,0,670,0.07
0.009259259259259259,0.0005358470464429246,0.0002896566396325772,2,1,0.9964742331166823,0.07,0,0,856,0.0888
0.00909090909090909,0.00040627314812168914,0.0002896566396325772,2,2,0.683261714736121,0.0444,0,0,95,0.09
0.008928571428571428,0.000589366700097348,0.0002896566396325772,4,4,0.8900230925369855,0.0888,0,0,598,0.1
0.008771929824561403,0.0005358470464429246,0.0002896566396325772,2,1,-0.1933846668727768,0.08940000000000001,0,0,936,0.0875
0.008620689655172414,0.0005358470464429246,0.0002896566396325772,2,1,0.9425043809306535,0.0888,0,0,492,0.1
0.00847457627118644,0.0005021165910959827,0.0002896566396325772,5,2,-0.47552366901205834,0.08940000000000001,0,0,188,0.08
0.008333333333333333,0.0026691627369971457,0.0002896566396325772,15,4,-0.371488064422021,0.0888,0,0,946,0.1
0.00819672131147541,0.0002953145466492441,0.0002896566396325772,1,8,-0.12363294914268595,0.08940000000000001,0,0,663,0.1069
0.008064516129032258,0.0003299257024565745,0.0002896566396325772,2,2,-0.15853338004399595,0.05345,0,0,1024,0.088
0.007936507936507936,0.00035767814818730704,0.0002896566396325772,4,5,0.9802277317343164,0.088,0,0,850,0.1
0.0078125,0.0005973946481455114,0.0002896566396325772,4,4,0.8011706755616272,0.094,0,0,535,0.1
